#,年,月,期,标题,栏目,栏目e,行业,作者,内容
0,Y2017,M01,#427,绿色金融与金融机构的社会责任,时评,Review,--,田国立,"最近世界上发生了很多大事，特别是特朗普的上台
给世界带来了很大的不确定性。但是在这些不确定性中
我觉得有一个确定性就是追求绿色世界，多一些山清水
秀，少一些雾霾。绿色金融不仅是一个学术问题，还是
一种价值取向、一种理想追求。金融机构具有重大的资
源配置权，金融机构的价值追求将可能成为未来改变世
界的巨大力量。作为一名金融工作者，我想借此机会谈
一谈绿色金融与金融机构的责任与追求。
首先，绿色金融的兴起，契合了绿色
发展的时代主题，意义重大
近代工业革命以来，人类在工业化和城市化建设中
硕果累累，但也尝到了环境污染的苦果。美国汤姆斯河
的“癌症村”、伦敦的“雾都劫难”、日本的“水俣病
等事件，至今仍令人记忆犹新。
1962年，美国人蕾切尔·卡逊在《寂静的春天》一
书中，首次对工业文明造成的生态破坏进行反思，唤醒
了社会各界对环境保护和绿色发展的意识。
50多年来，人类不断反思自身生产和生活方式，努
力改变“高消耗、高污染”的增长模式。1987年，世界
环境与发展委员会在《我们共同的未来》报告中，系统阐
述了可持续发展的思想，得到了大多数国家的拥护和认可
中国不能再走先污染、后治理的道路，边发展、边 ..."
1,Y2017,M01,#427,中资银行境外监管合规亟需跨上新台阶,银行家论坛,Banker's Forum,--,欧晖 吕留锋,"摘要：伴随中资企业加快“走出去”和人民币
国际化进程提速，中资银行纷纷实施国际化发展战
略，加快机构拓展和全球业务布局。在中资银行加
快“走出去”与全球日趋严格的金融监管环境不期
而遇时，合规风险成为中资银行“走出去”所面临
的首要风险，不少机构为此付出了高额的学费与代
价。中资银行国际化任重道远，而国际化的标准不
仅仅体现在机构数量和业务规模上，更体现在“软
实力”上。破解境外合规风险没有灵丹妙药，除了
加强自身制度建设、提升系统功能、强化专业人员
培训与储备等措施外，更重要的是要反思国际化发
展战略，做好业务准入和区位选择，做到有所为
有所不为；同时，要认清差距，加强基础建设、培
育合规文化，提升全球化管理水平和能力。
关键词：“  走出去”；合规风险；国际规则；合规
体系
一、中资银行“走出去”面临日趋严
峻的监管合规形势
“十二五”期间，中资银行紧随国家战略，深 ..."
2,Y2017,M01,#427,2017年值得关注的几个热点问题——“  首席经济学家展望2017”会议综述,2016年中国国际金融学会年会,Special Column,--,梁婧,"一、流动性拐点是否到来
关于国内流动性，有两种不同的观点。
一种观点认为，流动性拐点很快就会到来。稳汇率
稳增长、稳房价是中国货币政策的三个目标，但三者只
能求其二。稳汇率是次要目标，稳增长可基本达成，而
稳房价的实质就是控制风险。当前中国不会发生危机
但从一些指标来看，其风险预警在增强。一是地方政府
债务较高，已经相当于地方政府本期财政收入的六倍
二是居民部门加杠杆非常快，虽然中国居民部门储蓄率
较高，但这并不意味着没有困难。因此稳定房价是货币
政策的首要选择。目前信贷扩张在央行的稳定下增速较
稳，而非信贷的信用扩张很快，比信贷的增速快10-20
个百分点。央行已经关注到这一现象，提出非标理财要
纳入到广义的理财，要强化MPA监管。随着央行对非信
作者简介：梁婧，中国银行国际金融研究所。
① 本文为2016年第一财经峰会暨中国国际金融学会年会圆桌讨论的 ..."
3,Y2017,M01,#427,离岸人民币市场步入阶段性调整期——人民币国际化与离岸市场发展会议综述,2016年中国国际金融学会年会,Special Column,--,边卫红,"一、人民币国际化取得显著进展
（一）人民币从亚洲扩展至欧洲，进一步
扩展到美国，形成了全球人民币市场
人民币从香港扩展至东南亚，从东南亚又扩展
至欧洲，进一步扩展到美国，基本形成了全球人民
币市场的初步格局。离岸人民币市场是人民币国际
化的重要组成部分，亦是人民币国际化的“主战场”
人民币国际化职能经历了跨境贸易支付、价值储存
货币、自由兑换和储备货币四个阶段的演进。第一
跨境贸易支付职能。人民币目前已成为周边国家贸
易结算货币，基本完成了亚太的“区域化”，正处于
“全球化”的阶段。第二，价值储存货币职能。离岸
人民币的债市、QFII计划和RQFII计划、沪港通
深港通、沪伦通等均是围绕投资职能的储备。第三
自由兑换职能。1996 年人民币已实现了国际收支经
常项目下的可兑换，资本项目的开放还受到一些条
件的制约，诸如货币政策、监管体制不健全、国内
金融市场不够完善等。第四，储备货币职能。人民
作者简介：边卫红，中国银行国际金融研究所主管。
① 本文为2016年第一财经峰会暨中国国际金融学会年会平行会场A ..."
4,Y2017,M01,#427,金融风险与金融创新——  金融创新与银行业发展会议综述,2016年中国国际金融学会年会,Special Column,--,武岩,"“金融创新与银行业发展”这一议题是在以下三
个背景下提出的：第一，经济新常态、供给侧改革和
国内改革的深化，对金融创新和银行发展提出了新
要求；第二，互联网金融去中介化、去中心化和去边
界化，对中国金融创新和银行业发展提出了新要求；
第三，人民币国际化，以及整个世界经济形势的变化，
对中国金融创新和商业银行的发展提出了新要求。
一、房地产价格上涨到一定程度会阻
碍企业创新和实体经济发展
房价上涨带来两个方面的影响：一是抵押品效
应。房价上升给企业带来一定的财富，理论上企业
可以把房地产作为抵押去借钱，缓解融资约束，增
加投资，但实际上这个效应并不明显。房价上升过
程中，虽然企业的投资增加了，但并没有把这个资
金用到研发创新和实业投资上，而是投向了高回报
率的房地产市场，企业的研发投入和绩效则都在下
降。二是资源再配置效应。由于实体经济产业利润
率低，因此无论国有企业，还是民营企业都更喜欢
作者简介：武岩，中国银行国际金融研究所。
① 本文为2016年“第一财经峰会暨中国国际金融学会年会”的平行会场 ..."
5,Y2017,M01,#427,负利率与美联储货币政策取向——负利率与全球货币政策会议综述,2016年中国国际金融学会年会,Special Column,--,辛本胜,"2008年金融危机之后，全球货币政策出现了很
多新的特点和变化。发达经济体和部分新兴经济体
之间的货币政策分化趋势在不断加剧，特别是在欧
元区的部分国家和日本实施负利率的情况下，美联
储启动了加息进程。货币政策的作用机理也出现了
一些新的特点，未来的走向存在着更大的不确定性
一、负利率实施的原因
一是为防止货币升值。目前，全球避险货币主
要有两大类：一是作为大宗商品计价货币的美元
在每次金融危机时都会升值，因而是危机发生时
人们最愿意持有的货币；另一类是通过金融资产全
球分散化流动而具备了避险功能的欧元、日元等
2008年金融危机后，部分欧洲国家采用负利率，都
是为应对汇率突然升值后的举措，以阻止热钱流入
二是为防止通货紧缩。日本政府之所以实行负
利率，更主要的是担心通货紧缩。其目的是通过负
作者简介：辛本胜，中国银行国际金融研究所。 ..."
6,Y2017,M01,#427,英国“脱欧”对国际大型银行影响的评估及对策,银行业经营管理,Banking Management,--,熊启跃  瞿亢  陆晓明,"自2016年6月24日英国“脱欧”公投结束以
来，国际大型银行呈现出新的发展趋势和动向。英
国“脱欧”对国际大型银行的影响主要体现在“通
行证”机制将改变，从而形成差异化的监管环境并
引至一系列金融风险。随着“脱欧”的推进，欧洲
银行业格局将发生改变：银行监管套利行为将明显
增加，欧洲大型银行的经营业绩也将持续受到负面
影响，银行业发生“黑天鹅”事件的概率明显提高。
中资银行可组织力量集中对“脱欧”问题展开
研究，全面评估“脱欧”的影响；同时，充分利用“窗
口期”和金融监管政策变化，调整欧洲地区的战略
布局。此外，还应加强金融风险防控，做好“黑天鹅”
事件的防范预案。
一、英国“脱欧”对国际大型银行的
影响路径
作为全球金融中心，英国是国际大型银行进驻
的高度密集地区。此次英国“脱欧”对国际大型银
行的影响，主要体现在以下三个方向：
（一）“通行证”机制的发挥将受到限制 ..."
7,Y2017,M01,#427,逆势而上，实现国际化跨越	——三菱日联的国际化历程及其启示,银行业经营管理,Banking Management,--,邵科 龚潇靖,"摘要：此次全球金融危机爆发后，欧美国家的
大型跨国银行业普遍收缩了国际业务，而三菱日联
集团却逆势而上，实现了国际化业务的“第二次跨
越”，海外收入占比达到45%左右。其主要策略包
括：第一，区域布局“一快一慢”，东南亚快速发
展，欧洲增速放缓；第二，业务发展“一重一轻”，
零售业务“重资产”投入，对公业务“轻量化”转
型；第三，客户拓展“一补一增”，补充非日资客
户，增强客户服务能力；第四，国际化管理“一强
一紧”，强化全球统一管理，紧抓风险管控。三菱
日联对具备国际化条件的银行有以下几点启示：第
一，坚持本土市场的基础地位；第二，抓住时间窗口，
有所作为；第三，发展重点区域，成为当地主流银
行；第四，合理布局业务结构，降低资本消耗；第五，
积极创新，努力实现客户多元化。
关键词：大型跨国银行；国际化
2005年，经过数次收购、并购活动后（见图1），
三菱日联金融集团（以下简称“三菱日联”）成立，
成为日本规模最大的金融集团，涉及银行、证券、
信托、租赁等多个金融业务。其中，商业银行业务 ..."
8,Y2017,M01,#427,对农村金融机构打造跨界生态系统的研究——以浙江农信系统为例,银行业经营管理,Banking Management,--,浙江省农信联社互联网金融课题组,"摘要：在利率市场化和互联网金融冲击下，农
村金融机构纷纷进行战略转型。本文对当前互联网
时代大背景下的人类行为方式、金融基础设施、商
业竞争模式等新动态、新发展进行了探讨，通过剖
析国内外金融生态型企业的跨界生态系统的发展、
实践、措施，结合浙江农信的发展情况，提出了农
村金融机构跨界生态系统的定义，以及建设所应秉
承的原则、思维。同时，围绕农村金融机构转型建
设的核心，对浙江农信跨界生态系统进行了设想，
并对构成其重要组成部分的开放平台、金融基础设
施、渠道、场景等方面的建设路径，以及如何构建
跨界生态系统保障体系等问题，提出了具体的措施
和建议，以期为未来农村金融机构建设社区银行跨
界生态系统提供可供参考的研究意见。
关键词：农村金融；跨界生态系统；转型路径
引言
自1952年以来，浙江农村信用社（下称“浙
江农信”）在中国工业化和农业现代化发展的大潮 ..."
9,Y2017,M01,#427,货币政策的国际影响,宏观经济与市场,Macro Economy & Market,--,马里奥·德拉吉 ,"近年来，发达经济体的中央银行肩负的共同使
命就是提高通胀和通胀预期，并使其回归到与物价
稳定相一致的水平。各国中央银行结合各自面临的
不同形势，采取了不同措施，全面履行国家宪法赋
予的法定职责。
然而，事实是所有中央银行都面临着低通胀这
一共同挑战。这绝非偶然，而是受全球因素影响所
致。这就引出了一个问题，应对低通胀的最佳方法
是什么？
从一个极端来说，中央银行可以完全将全球环
境作为外部因素，并相应制定政策；从另一个极端
来说，是以明确的货币政策进行协调。这两个极端
之间是一系列非正式的解决方案。
不论人们对这些选择的看法是什么，可以明确
的是，由于影响中央银行的共同因素日益增加，货
币政策国际化的问题日趋紧迫。
通货膨胀的全球诱因
事实上，越来越多的研究表明，全球化成为除 ..."
